Date,AvgDifficulty_M,DifficultyChangePct,AvgPrice_USD,PriceChangePct
27th Dec 2025,122.530,-4.27,490.65,10.6
28th Dec 2025,129.707,5.86,521.99,6.39
29th Dec 2025,127.602,-1.62,533.63,2.23
30th Dec 2025,124.256,-2.62,534.62,0.19
31st Dec 2025,124.990,0.59,518.22,-3.07
1st Jan 2026,126.213,0.98,518.64,0.08
2nd Jan 2026,135.142,7.07,505.53,-2.53
3rd Jan 2026,128.564,-4.87,505.23,-0.06
4th Jan 2026,137.765,7.16,506.89,0.33
5th Jan 2026,134.552,-2.33,495.69,-2.21
6th Jan 2026,133.761,-0.59,506.52,2.19
7th Jan 2026,134.001,0.18,487.86,-3.69
8th Jan 2026,129.406,-3.43,435.09,-10.82
9th Jan 2026,123.345,-4.68,429.92,-1.19
10th Jan 2026,131.705,6.78,383.64,-10.76
11th Jan 2026,127.750,-3.00,383.37,-0.07
12th Jan 2026,129.399,1.29,403.35,5.21
13th Jan 2026,124.917,-3.46,399.27,-1.01
14th Jan 2026,136.235,9.06,422.26,5.76
15th Jan 2026,123.826,-9.11,428.72,1.53
16th Jan 2026,131.937,6.55,409.19,-4.55
17th Jan 2026,126.487,-4.13,404.56,-1.13
18th Jan 2026,125.505,-0.78,393.42,-2.75
19th Jan 2026,133.434,6.32,369.80,-6.00
20th Jan 2026,120.678,-9.56,358.25,-3.12
21st Jan 2026,113.332,-6.09,359.63,0.39
22nd Jan 2026,126.233,11.4,360.69,0.29
23rd Jan 2026,117.816,-6.67,365.45,1.32
24th Jan 2026,119.671,1.57,368.71,0.89
25th Jan 2026,110.563,-7.61,351.94,-4.55
26th Jan 2026,118.028,6.75,353.27,0.38
27th Jan 2026,122.696,3.96,381.56,8.01
28th Jan 2026,129.362,5.43,386.68,1.34
29th Jan 2026,122.223,-5.52,361.29,-6.57
30th Jan 2026,128.435,5.08,337.23,-6.66
31st Jan 2026,123.525,-3.82,317.00,-6.00
1st Feb 2026,122.336,-0.96,298.64,-5.79
